,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,_
A,0.00013446874413148262,0.0015278431445283971,0.0025386771521374732,0.003581969132467942,1.1592133114782984e-05,0.0002156136759349635,0.00012055818439374303,0.001506977304921788,0.00022025052918087668,0.0015603011172497896,0.00585170879634245,0.009449906915171087,0.0040108780577149125,0.005132996543225905,0.00012055818439374303,0.0016924514347583157,2.3184266229565966e-06,0.0031716076202046245,0.00463221639266728,0.005490034243161221,0.000419635218755144,0.003839314487616124,4.636853245913193e-06,1.3910559737739581e-05,4.636853245913193e-06,0.0028841227189580062,0.024705154094225495
B,0.0010340182738386421,2.3184266229565966e-06,3.477639934434895e-05,2.3184266229565967e-05,0.001954433643152411,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,0.0008833205433464634,6.491594544278471e-05,6.491594544278471e-05,0.0006607515875426301,1.1592133114782984e-05,0.0002828480480007048,0.002023986441841109,6.9552798688697906e-06,2.3184266229565966e-06,0.001254268803019519,5.5642238950958324e-05,2.086583960660937e-05,0.001091978939412557,9.273706491826386e-06,2.3184266229565966e-06,2.3184266229565966e-06,0.0037720801155503828,3.7094825967305545e-05,7.65080785575677e-05
C,0.0010896605127896004,4.636853245913193e-06,6.491594544278471e-05,6.9552798688697906e-06,0.0062620703086057675,2.3184266229565966e-06,2.3184266229565966e-06,0.007483881138903894,0.0051492255295866015,6.9552798688697906e-06,0.0015278431445283971,0.0005888803622309755,3.7094825967305545e-05,0.0009737391816417706,0.002311471343087727,6.25975188198281e-05,4.636853245913193e-06,2.086583960660937e-05,1.622898636069618e-05,0.00046600375121427594,0.00016924514347583155,5.796066557391492e-05,2.3184266229565966e-06,4.636853245913193e-06,1.3910559737739581e-05,1.1592133114782984e-05,0.0015834853834793556
D,0.0030626415689256645,0.0001460608772462656,0.0002805296213777482,0.00010201077141009026,0.005202549341914603,4.636853245913193e-06,6.9552798688697906e-06,0.00010896605127896004,0.002592000964465475,6.027909219687151e-05,0.00030139546098435755,0.001701725141250142,0.00013446874413148262,0.001678540875020576,0.004794506256274242,0.0002503900752793124,2.3184266229565966e-06,0.0012728162160031717,0.0003361718603287065,0.00023184266229565967,0.001064157819937078,0.0007558070790838505,2.3184266229565966e-06,2.3184266229565966e-06,0.0024273926742355567,4.868695908208853e-05,0.002311471343087727
E,0.00019011098308244093,0.0018616965782341471,0.004170849494698917,0.005167772942570254,2.086583960660937e-05,5.796066557391492e-05,0.00018547412983652774,0.0023647951554157287,6.95527986886979e-05,0.0031716076202046245,0.003540237453254723,0.00695527986886979,0.006007043380080542,0.007147709278575188,0.00032457972721392354,0.001673904021774663,2.3184266229565966e-06,0.002622140510563911,0.004500066075158754,0.0035889244123368117,0.00022025052918087668,0.0019219756704310187,9.273706491826386e-06,0.00015069773049217877,4.636853245913193e-06,0.003484595214303765,0.03041543886656759
F,0.0002109768226890503,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,7.882650518052429e-05,0.00013215031750852602,2.3184266229565966e-06,2.3184266229565966e-06,0.000155334583738092,4.636853245913193e-06,2.3184266229565966e-06,3.7094825967305545e-05,2.3184266229565966e-06,1.622898636069618e-05,0.0001414240240003524,2.3184266229565966e-06,2.3184266229565966e-06,9.041863829530728e-05,2.3184266229565966e-06,0.0001275134642626128,4.868695908208853e-05,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,2.7821119475479162e-05,2.3184266229565966e-06,6.25975188198281e-05
G,0.00012983189088556943,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,0.0001414240240003524,2.3184266229565966e-06,2.3184266229565966e-06,1.3910559737739581e-05,0.00011592133114782984,2.3184266229565966e-06,2.3184266229565966e-06,3.7094825967305545e-05,2.5502692852522565e-05,4.405010583617534e-05,9.041863829530728e-05,6.9552798688697906e-06,2.3184266229565966e-06,0.00018547412983652774,2.3184266229565966e-06,2.3184266229565966e-06,4.405010583617534e-05,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,9.273706491826386e-06,2.3184266229565966e-06,7.65080785575677e-05
H,0.002172365745710331,2.7821119475479162e-05,0.00038485881941079504,5.796066557391492e-05,0.0006468410278048904,4.636853245913193e-06,2.3184266229565966e-06,1.3910559737739581e-05,8.346335842643748e-05,1.622898636069618e-05,7.418965193461109e-05,0.003927414699288475,0.0002086583960660937,0.0010432919803304685,0.005793748130768535,2.7821119475479162e-05,2.3184266229565966e-06,0.001500022025052918,4.6368532459131935e-05,0.0005981540687228019,0.0009412812089203783,0.0005726513758702794,2.3184266229565966e-06,4.636853245913193e-06,0.0007604439323297637,1.8547412983652773e-05,0.002139907772988939
I,0.00022720580904974649,0.0003709482596730555,0.0046067136998147575,0.0017434568204633607,0.000252708501902269,3.7094825967305545e-05,8.578178504939407e-05,0.0004799143109520155,0.00020170311619722392,0.0005216459901652343,0.002132952493120069,0.005854027222965407,0.003301439511090194,0.0037048457434846415,0.00017620042334470136,0.0005911987888539322,4.636853245913193e-06,0.0010734315264289043,0.0029652676507614874,0.0039135041395507355,9.969234478713367e-05,0.002378705715153468,1.1592133114782984e-05,2.5502692852522565e-05,2.3184266229565966e-06,0.0013238216017082167,0.016284628599647136
J,0.0038949567265670823,3.245797272139236e-05,3.9413252590262146e-05,0.0006120646284605416,0.006990056268214139,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565967e-05,0.0036538403577795965,1.622898636069618e-05,3.245797272139236e-05,4.868695908208853e-05,0.0003408087135746197,0.0002550269285252256,0.00011360290452487324,3.9413252590262146e-05,2.3184266229565966e-06,2.3184266229565967e-05,0.001970662629513107,0.0001970662629513107,0.00011360290452487324,9.969234478713367e-05,2.3184266229565966e-06,2.3184266229565966e-06,2.3184266229565966e-06,9.273706491826386e-06,0.0006792990005262829
